year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,sellingprice,saledate
2007,Scion,tC,Base,hatchback,manual,jtkde177770153506,fl,34.0,96227.0,blue,black,world omni/santander,4200.0,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2006,Dodge,Charger,SE,Sedan,automatic,2b3ka43r76h266256,tx,19.0,124902.0,red,gray,meridian remarketing,4900.0,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2008,Saturn,Aura,XR,Sedan,automatic,1g8zv57708f198025,in,3.0,136537.0,white,black,auto trakk llc,2000.0,Wed Jan 21 2015 05:30:00 GMT-0800 (PST)
2002,Chevrolet,Impala,Base,Sedan,automatic,2g1wf52e529130176,fl,19.0,110325.0,gray,beige,autonation toyota winter park,2500.0,Tue Mar 03 2015 10:00:00 GMT-0800 (PST)
2011,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4rr4gg3bc641064,fl,43.0,126521.0,silver,black,auto sails inc,16100.0,Tue Mar 03 2015 08:00:00 GMT-0800 (PST)
2012,Chevrolet,Sonic,LTZ,Hatchback,automatic,1g1je6sh3c4177546,ne,35.0,32346.0,silver,black,dm northwest inc,9800.0,Thu May 21 2015 04:00:00 GMT-0700 (PDT)
2009,Toyota,Corolla,LE,Sedan,automatic,jtdbl40e29j047671,mo,19.0,99415.0,gray,gray,toyota financial services,1500.0,Tue Jan 20 2015 07:00:00 GMT-0800 (PST)
1998,Toyota,Avalon,XL,Sedan,,4t1bf18b3wu233967,fl,19.0,179902.0,green,tan,coral springs honda,800.0,Fri Feb 27 2015 01:30:00 GMT-0800 (PST)
2014,Mercedes-Benz,S-Class,S550,Sedan,,wddug8cb6ea006580,pa,45.0,15547.0,silver,black,big tree auto brokers,81500.0,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
2007,Lexus,GS 350,Base,Sedan,,jthbe96s970014513,pa,2.0,136715.0,gray,gray,lexus financial services,9800.0,Fri Feb 20 2015 08:29:00 GMT-0800 (PST)
2014,Ford,Expedition,EL King Ranch,SUV,automatic,1fmjk1h53eef32899,tx,44.0,32024.0,black,beige,avis budget group,30800.0,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
2013,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg9dr653936,nv,2.0,47369.0,white,—,hertz damaged liquidation,9100.0,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2008,Mazda,CX-7,Grand Touring,suv,automatic,jm3er293680175554,tx,26.0,102274.0,silver,black,d&m leasing,3900.0,Wed Jun 03 2015 03:15:00 GMT-0700 (PDT)
2012,Honda,Civic,LX,Sedan,automatic,19xfb2f54ce041956,il,35.0,34765.0,red,beige,ahfc/honda lease trust/hvt  inc. eot,10700.0,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2014,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcpcrec8eg428933,tx,5.0,3610.0,white,beige,jpmorgan chase bank n.a.,29100.0,Wed Feb 25 2015 02:15:00 GMT-0800 (PST)
2009,Toyota,RAV4,Base,SUV,automatic,2t3bk33v69w006440,pa,46.0,42979.0,red,tan,lancaster car company llc,14000.0,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
2005,Nissan,Maxima,3.5 SL,Sedan,automatic,1n4ba41e05c865862,ca,19.0,116141.0,gray,gray,honda world,3400.0,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,manual,wba3a5c56cf452788,fl,37.0,29872.0,gray,black,braman motorcars,20400.0,Thu Jun 11 2015 02:40:00 GMT-0700 (PDT)
2003,MINI,Cooper,Base,Hatchback,manual,wmwrc33493tc40374,ga,28.0,94334.0,burgundy,black,global imports,3900.0,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2006,BMW,3 Series,325i,Sedan,automatic,wbavb13556pt12132,tx,32.0,114270.0,white,tan,rlb investments,7800.0,Wed Feb 04 2015 02:20:00 GMT-0800 (PST)
2012,Infiniti,M,M35h,Sedan,automatic,jn1ey1ap6cm910784,ca,41.0,48040.0,—,black,nissan infiniti lt,23500.0,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2013,Volkswagen,Beetle,2.5L PZEV,Hatchback,automatic,3vwfp7at3dm647080,ca,35.0,42527.0,gray,black,avis corporation,11600.0,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
2013,Ford,Edge,SE,SUV,automatic,2fmdk3gc2dba18061,tx,34.0,98457.0,silver,black,wheels lt,12400.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0jaxcr291882,ca,37.0,73532.0,—,black,california fleet inc,10500.0,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
2013,Ford,Fusion,SE,sedan,automatic,3fa6p0h70dr182866,il,42.0,30657.0,white,beige,ford motor credit company llc,13500.0,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
2005,Chrysler,300,Base,Sedan,automatic,2c3ja43r65h689780,ca,29.0,115691.0,blue,silver,auto house llc,5300.0,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
2011,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac0bh250229,fl,37.0,42518.0,silver,silver,luxury fleet leasing llc,10400.0,Thu Jun 04 2015 02:45:00 GMT-0700 (PDT)
2008,BMW,3 Series,328xi,sedan,,wbavc93548k042984,co,29.0,90322.0,black,black,bellco fcu,9200.0,Tue Jun 16 2015 05:00:00 GMT-0700 (PDT)
2007,Cadillac,Escalade,Base,suv,automatic,1gyec63857r427837,ca,19.0,120356.0,black,black,stg auto group,16000.0,Wed Jun 17 2015 05:00:00 GMT-0700 (PDT)
2014,Jeep,Compass,Limited,SUV,automatic,1c4njdcbxed526286,nj,34.0,22185.0,black,black,wheels exchange llc,19700.0,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
2012,Chevrolet,Equinox,LT,SUV,automatic,2gnaldekxc6375605,tx,32.0,12285.0,gray,—,jpmorgan chase bank n.a.,17100.0,Wed Feb 25 2015 02:15:00 GMT-0800 (PST)
2013,Chevrolet,Equinox,LTZ,SUV,automatic,2gnalfek8d1184601,pa,46.0,71305.0,white,white,parkway nissan lincoln mercury,14600.0,Wed Feb 11 2015 01:00:00 GMT-0800 (PST)
2012,Chrysler,200,LX,Sedan,automatic,1c3ccbab4cn318666,la,29.0,56660.0,silver,black,neighbors fcu,8100.0,Wed Mar 04 2015 03:00:00 GMT-0800 (PST)
2014,Ford,Focus,SE,hatchback,,1fadp3k21el186947,pa,36.0,33260.0,black,black,ford motor credit company,10500.0,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap7ec202743,tx,35.0,32475.0,white,tan,avis corporation,13200.0,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2006,Toyota,Corolla,LE,Sedan,,2t1br32e96c591419,va,2.0,144555.0,gold,gray,dt credit corporation,2000.0,Thu Feb 05 2015 03:50:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37x,G Sedan,,jn1cv6ar2dm750113,pa,42.0,34836.0,black,black,nissan infiniti lt,20400.0,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
2012,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk0cu036303,fl,39.0,19445.0,silver,gray,world omni financial corporation,14100.0,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2005,Pontiac,Montana,SV6,minivan,automatic,1gmdv33l45d208288,in,19.0,118043.0,white,gray,garlitch ford chrysler dodge jeep,3050.0,Thu Jun 04 2015 03:10:00 GMT-0700 (PDT)
2012,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1ef6cfb98743,nj,35.0,17537.0,white,—,ford motor credit company llc,26700.0,Wed May 27 2015 02:00:00 GMT-0700 (PDT)
2008,Cadillac,Escalade,Base,SUV,,1gyfk63858r184619,co,41.0,83271.0,red,black,justus motors company inc,22700.0,Wed Feb 18 2015 03:45:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap7cn456853,ca,37.0,23143.0,white,black,nissan motor acceptance corporation,11000.0,Tue May 19 2015 05:30:00 GMT-0700 (PDT)
2014,MINI,Cooper Countryman,Base,Wagon,automatic,wmwzb3c53ewr39929,ca,1.0,24403.0,black,gray,enterprise vehicle exchange / tra / rental / tulsa,8200.0,Tue May 26 2015 06:00:00 GMT-0700 (PDT)
2011,Nissan,Cube,1.8 S,wagon,,jn8az2kr1bt214261,nj,28.0,2636.0,silver,black,nissan-infiniti lt,8600.0,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
2011,Nissan,Rogue,SV,SUV,automatic,jn8as5mt6bw185949,tn,35.0,51557.0,—,black,nissan-infiniti lt,13400.0,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
2003,Chevrolet,Silverado 1500HD,LT,Crew Cab,automatic,1gcgk13u83f140599,fl,33.0,212386.0,burgundy,tan,remarketing by ge/southern wholesale cars,6000.0,Tue Mar 03 2015 03:05:00 GMT-0800 (PST)
2014,Dodge,Grand Caravan,R/T,Minivan,automatic,2c4rdgeg9er181235,fl,4.0,40293.0,gray,black,avis corporation,19000.0,Fri Jan 09 2015 10:00:00 GMT-0800 (PST)
2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab1en188838,tx,18.0,8748.0,black,gray,chrysler capital,7200.0,Wed Dec 31 2014 10:00:00 GMT-0800 (PST)
2009,Ford,Mustang,Premium,coupe,automatic,1zvht80n095104778,tx,26.0,87450.0,red,gray,fort worth audi,8300.0,Thu May 28 2015 04:00:00 GMT-0700 (PDT)
2009,Volkswagen,Tiguan,SE 4Motion,SUV,automatic,wvgbv75n19w511391,fl,34.0,77704.0,silver,black,r k chevrolet inc,10400.0,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2005,Chrysler,PT Cruiser,GT,Wagon,automatic,3c8fy78g95t569905,ca,2.0,76250.0,purple,gray,camacho mitsubishi,2600.0,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2004,Infiniti,Q45,Luxury,Sedan,automatic,jnkbf01a04m500137,fl,28.0,160321.0,gray,black,lauderdale infiniti,3200.0,Fri Jan 09 2015 09:35:00 GMT-0800 (PST)
2005,Chrysler,300,C,Sedan,automatic,2c3aa63h85h658971,ca,19.0,116723.0,black,gray,bmw of riverside,6700.0,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
2013,Toyota,Highlander,Base,SUV,,5tdbk3eh2ds213344,pa,45.0,13719.0,silver,gray,mi joe auto sales,26900.0,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G25x,G Sedan,automatic,jn1dv6ar8cm730015,tn,36.0,65498.0,black,black,nissan infiniti lt,14400.0,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2007,,,,,automatic,jtjbt20x970138586,mo,38.0,133292.0,black,gray,primeritus remarketing/fast line auto sales inc,14200.0,Tue Feb 17 2015 03:00:00 GMT-0800 (PST)
2013,Hyundai,Sonata Hybrid,Base,Sedan,automatic,kmhec4a43da070562,sc,,38094.0,white,gray,k b m,12500.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2013,Dodge,Dart,Limited,Sedan,automatic,1c3cdfca7dd309766,fl,4.0,17992.0,red,black,chrysler group llc,14800.0,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar6dm352211,il,47.0,16726.0,—,black,nissan infiniti lt,19900.0,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2015,Ford,Transit Wagon,350 XL Low Roof,van,automatic,1fbzx2zm5fka20928,fl,48.0,13658.0,white,black,enterprise veh exchange/rental,29100.0,Tue Jun 09 2015 02:15:00 GMT-0700 (PDT)
2004,Dodge,Ram Pickup 1500,SLT,Quad Cab,,1d7ha18nx4s777890,tx,29.0,127465.0,black,black,rlb investments,7800.0,Wed Feb 04 2015 02:20:00 GMT-0800 (PST)
2011,Toyota,Corolla,S,Sedan,automatic,2t1bu4ee9bc730720,fl,22.0,8446.0,red,black,world omni financial corporation,11400.0,Wed Feb 11 2015 01:10:00 GMT-0800 (PST)
2008,Mercedes-Benz,E-Class,E350,Sedan,automatic,wdbuf56x88b205159,la,28.0,112375.0,black,black,national auto lenders inc,9100.0,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
2008,Honda,Accord,EX-L,coupe,automatic,1hgcs12858a009591,tx,27.0,107008.0,gray,—,tdaf remarketing,7700.0,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2005,Nissan,Murano,SL,SUV,automatic,jn8az08wx5w412745,nc,25.0,184477.0,silver,beige,primeritus remarketing/coastal fcu,2700.0,Mon May 25 2015 02:30:00 GMT-0700 (PDT)
2006,Volkswagen,New Beetle,TDI,Hatchback,automatic,3vwrr31c76m404861,ga,46.0,57530.0,green,beige,southern motors honda,6600.0,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
2012,Mitsubishi,Galant,ES,Sedan,automatic,4a32b3ff5ce009555,ga,36.0,59778.0,black,beige,primeritus remarketing/new concepts leasi,9400.0,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0hr8dr111920,oh,39.0,12981.0,black,—,ford motor credit company llc,16000.0,Tue Feb 03 2015 01:00:00 GMT-0800 (PST)
2011,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja7br301699,va,29.0,61668.0,red,beige,brown's manassas kia,9500.0,Thu Jan 15 2015 01:05:00 GMT-0800 (PST)
2010,Mercedes-Benz,M-Class,ML350 4MATIC,SUV,automatic,4jgbb8gb9aa572779,nj,19.0,62772.0,black,black,chrysler capital,18100.0,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2003,Dodge,Ram Pickup 1500,SLT,quad cab,automatic,1d7ha18n53s305241,az,2.0,137767.0,burgundy,gray,quality acceptance,4200.0,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
2000,BMW,5 Series,528i,Sedan,automatic,wbadm634xygu07346,tx,37.0,159860.0,black,tan,rii,1800.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2013,Dodge,Avenger,SXT,Sedan,automatic,1c3cdzcb3dn759192,tn,37.0,41190.0,gray,black,midtown motors,10600.0,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
2014,Chrysler,200,LX,Sedan,automatic,1c3ccbab3en236012,fl,4.0,19092.0,silver,black,hertz corporation/gdp,11400.0,Mon Jan 05 2015 04:30:00 GMT-0800 (PST)
2012,Scion,xD,Base,Hatchback,automatic,jtkku4b42c1021914,fl,26.0,22004.0,red,black,world omni financial corporation,9600.0,Wed Jan 28 2015 01:05:00 GMT-0800 (PST)
2010,Mercedes-Benz,E-Class,E350,Sedan,automatic,wddhf5gb2aa254283,ca,39.0,59075.0,white,black,jaguar land rover cerritos,21000.0,Wed Feb 18 2015 04:15:00 GMT-0800 (PST)
2013,Ford,Edge,SEL,SUV,automatic,2fmdk3jc8dba68813,tn,46.0,64849.0,silver,black,butler motors inc,17500.0,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
2007,BMW,3 Series,328i,Sedan,,wbava33577kx79713,fl,28.0,79876.0,red,black,remarketing by ge/space coast credit union,9000.0,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
2012,Dodge,Grand Caravan,American Value Package,minivan,automatic,2c4rdgbgxcr262696,tx,44.0,60983.0,silver,black,ge fleet services for itself/servicer,10200.0,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
2012,Ford,Fusion,S,Sedan,automatic,3fahp0ga0cr400101,fl,39.0,52576.0,—,gray,ford motor credit company llc,9700.0,Thu Feb 05 2015 01:00:00 GMT-0800 (PST)
2010,Ford,Expedition,King Ranch,SUV,automatic,1fmju1j57aeb35694,nj,33.0,120868.0,—,brown,dicicco auto sales,16500.0,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
2004,Volkswagen,New Beetle,GLS,Convertible,automatic,3vwcm21y44m300867,nj,29.0,56557.0,blue,tan,albert & jack inc,4000.0,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2014,Ford,Transit Connect,Wagon Titanium LWB,Minivan,automatic,nm0ge9g70e1155461,mn,33.0,7481.0,—,gray,avis budget group,22000.0,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Fusion,SE,sedan,automatic,3fa6p0h72er138501,mn,5.0,23899.0,silver,black,lease plan usa,14300.0,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
2012,Toyota,Highlander,Limited,SUV,automatic,5tddk3eh2cs135378,fl,38.0,40896.0,black,beige,onesource/mega auto group inc,28800.0,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2002,Mercedes-Benz,C-Class,C320,Wagon,automatic,wdbrh64j32f129628,mo,26.0,61279.0,gold,tan,hendrick lexus kansas city,6000.0,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
2006,Ford,Expedition,XLT,SUV,automatic,1fmpu15586la64528,ca,29.0,120338.0,silver,gray,the car exchange,5400.0,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
2014,Chevrolet,Impala,LT,Sedan,automatic,2g1125s37e9239909,fl,3.0,20224.0,black,gray,gm remarketing,23200.0,Tue Mar 31 2015 02:30:00 GMT-0700 (PDT)
2013,Ford,Focus ST,Base,hatchback,manual,1fadp3l94dl382326,nv,44.0,24164.0,silver,black,chapman chry jeep,19000.0,Fri May 29 2015 04:45:00 GMT-0700 (PDT)
2008,Volkswagen,Jetta,S PZEV,Sedan,manual,3vwjz71k78m143861,ca,2.0,111000.0,black,black,wells fargo dealer services,3400.0,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
2003,Volkswagen,New Beetle,GL TDI,Hatchback,manual,3vwbp21c23m420558,ga,28.0,145231.0,blue,—,riverside toyota scion,800.0,Tue Jun 09 2015 05:30:00 GMT-0700 (PDT)
2012,Chevrolet,Sonic,LT,Sedan,,1g1jc5sh6c4210698,tx,42.0,16173.0,black,gray,tdaf remarketing,10000.0,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2007,Cadillac,CTS,Base,Sedan,automatic,1g6dp577070110721,tx,2.0,1.0,beige,black,tdaf remarketing,500.0,Tue Jan 13 2015 11:00:00 GMT-0800 (PST)
2014,Buick,Encore,Base,SUV,automatic,kl4cjasb7eb551658,fl,46.0,14430.0,brown,black,ed morse auto plaza,17400.0,Thu Feb 26 2015 01:40:00 GMT-0800 (PST)
2011,Honda,Civic,LX,Sedan,automatic,19xfa1f53be047839,fl,25.0,51224.0,silver,gray,td auto finance,7900.0,Tue Feb 17 2015 01:00:00 GMT-0800 (PST)
2013,Ford,Fusion,SE,sedan,automatic,3fa6p0hr1dr250139,mo,49.0,74201.0,white,beige,automotive solutions llc,12400.0,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0hr9dr134946,nj,42.0,32693.0,—,black,wheels exchange llc,13500.0,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2010,Porsche,Cayenne,Base,SUV,automatic,wp1aa2ap4ala04303,fl,23.0,81645.0,black,black,land rover palm beach,18000.0,Thu Feb 19 2015 01:15:00 GMT-0800 (PST)
2012,Chevrolet,Traverse,LTZ,suv,automatic,1gnkvledxcj117873,mn,2.0,73811.0,white,gray,remarketing by ge/first alliance credit union,17200.0,Thu Jun 18 2015 03:45:00 GMT-0700 (PDT)
2008,GMC,Yukon,SLE,SUV,automatic,1gkfc13038r111575,ca,39.0,86525.0,black,black,reliance motors llc,20500.0,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
2014,Ford,Flex,SEL,Wagon,automatic,2fmhk6c88ebd27135,fl,47.0,33209.0,—,black,avis budget group,23300.0,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
2013,Ford,Escape,SE,SUV,automatic,1fmcu0g91dud91966,tx,49.0,25193.0,—,gray,ford motor credit company llc,17100.0,Thu Feb 05 2015 02:30:00 GMT-0800 (PST)
2013,Mitsubishi,Outlander,SE,SUV,automatic,ja4jt3aw2du020825,tn,35.0,46981.0,red,black,avis corporation,14300.0,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
2014,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk4eu389887,tx,1.0,16604.0,black,—,hertz damaged liquidation,10300.0,Thu Dec 18 2014 14:00:00 GMT-0800 (PST)
2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar4bm411348,tx,34.0,50117.0,silver,black,nissan infiniti lt,17000.0,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja7cr375805,mi,47.0,29135.0,black,black,ars-cpo,14400.0,Thu Jan 15 2015 01:00:00 GMT-0800 (PST)
2013,Chevrolet,Sonic,LT,hatchback,automatic,1g1jc6sg0d4185361,az,24.0,53496.0,gray,black,onesource/southwest remarketing,7000.0,Thu Jun 04 2015 05:00:00 GMT-0700 (PDT)
2013,Nissan,Sentra,SR,sedan,automatic,3n1ab7ap3dl563204,nj,36.0,28831.0,gray,gray,nissan-infiniti lt,12900.0,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
2004,Ford,Escape,XLT,SUV,automatic,1fmyu03174da08750,la,21.0,138371.0,gray,black,sst financial,2500.0,Wed Feb 04 2015 03:00:00 GMT-0800 (PST)
2008,Saab,9-3,2.0T,Sedan,automatic,ys3fb49y781010432,fl,28.0,153387.0,beige,gray,coggin honda of orlando,2700.0,Tue Jan 20 2015 10:00:00 GMT-0800 (PST)
2011,Chevrolet,Equinox,LT1,suv,automatic,2cnflee53b6435913,mn,34.0,63506.0,gray,black,select lane,15100.0,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja1cr341746,nv,35.0,54600.0,gray,black,ge fleet services for itself/servicer,11000.0,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
2005,Chrysler,PT Cruiser,Touring,Convertible,automatic,3c3ey55e25t324257,ca,2.0,94474.0,gray,gray,dt credit corporation,950.0,Tue Feb 17 2015 05:00:00 GMT-0800 (PST)
2011,Chevrolet,HHR,LS,Wagon,automatic,3gnbaafw3bs636129,va,28.0,126984.0,silver,black,wheels exchange llc,3800.0,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
2015,Hyundai,Santa Fe Sport,Sport,SUV,automatic,5xyztdlb6fg269433,nj,29.0,4019.0,silver,gray,enterprise veh exchange/rental,16000.0,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
2013,Jeep,Wrangler,Unlimited Sahara,suv,automatic,1c4hjweg4dl702674,va,5.0,28091.0,black,black,fca us llc,28800.0,Thu Jun 18 2015 01:50:00 GMT-0700 (PDT)
2005,Pontiac,Grand Prix,Base,Sedan,automatic,2g2wp522651347298,ne,41.0,126005.0,silver,black,lexus of omaha,5100.0,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
2013,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb8d7144543,oh,4.0,53000.0,gray,black,the hertz corporation,10700.0,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2014,Toyota,Camry,LE,Sedan,automatic,4t4bf1fk7er354055,wi,19.0,18299.0,blue,gray,toyota financial services,12700.0,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
2014,FIAT,500L,Easy,wagon,automatic,zfbcfabh3ez019667,il,3.0,22948.0,silver,gray,hertz corporation/gdp,11100.0,Thu Jun 18 2015 04:00:00 GMT-0700 (PDT)
2008,Mercedes-Benz,C-Class,C300 Sport,Sedan,automatic,wddgf54x88r014842,ga,37.0,65791.0,blue,tan,rbm of atlanta inc,14200.0,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
2012,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap3cc811049,pa,31.0,18851.0,white,tan,nissan-infiniti lt,18600.0,Fri Feb 20 2015 01:00:00 GMT-0800 (PST)
2010,Dodge,Caliber,SXT Fleet,Wagon,automatic,1b3cb4ha7ad571010,sc,29.0,102194.0,beige,gray,automobile acceptance corp,5000.0,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
2010,Toyota,Corolla,S,Sedan,automatic,2t1bu4ee4ac466692,pa,21.0,60528.0,red,black,remarketing by ge/suntrust bank,8300.0,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
2008,Toyota,Highlander,Sport,suv,,jtees43a282010083,pa,38.0,88855.0,white,beige,r hollenshead auto sales inc,15700.0,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
2006,Toyota,Sequoia,SR5,SUV,,5tdbt44ax6s267193,ca,34.0,106165.0,gray,gray,santander consumer,11250.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2008,Ford,Expedition EL,King Ranch,SUV,,1fmfk18568la80081,pa,,131822.0,blue,—,charles & son auto sls inc,8900.0,Fri Dec 19 2014 09:30:00 GMT-0800 (PST)
2013,Volkswagen,Beetle,2.0L TDI,Hatchback,,3vwjl7at2dm611774,pa,39.0,11781.0,beige,black,vw credit,14700.0,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
2007,Toyota,FJ Cruiser,Base,SUV,automatic,jtebu11f170091520,fl,,86634.0,silver,black,earl stewart toyota of north palm beach,14500.0,Thu Dec 18 2014 09:15:00 GMT-0800 (PST)
2014,Chevrolet,Impala Limited,LT Fleet,Sedan,automatic,2g1wb5e37e1160952,il,4.0,9867.0,white,black,gm remarketing,13800.0,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
2014,Chevrolet,Equinox,LT,SUV,automatic,2gnalcek1e6272084,ca,1.0,32519.0,gray,gray,enterprise vehicle exchange / tra / rental / tulsa,14900.0,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
2013,Nissan,Murano,SL,SUV,automatic,jn8az1mu1dw208974,tx,46.0,19886.0,black,black,nissan motor acceptance corporation,23000.0,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
2010,Cadillac,SRX,Luxury,SUV,automatic,3gyfnaey9as598528,ga,19.0,83738.0,silver,gray,gm financial,11000.0,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2007,Chevrolet,Tahoe,LT,SUV,automatic,1gnfc13007r398195,ga,35.0,238910.0,white,black,town & country motors ii,9500.0,Tue Feb 17 2015 05:00:00 GMT-0800 (PST)
2010,Mercedes-Benz,CLS-Class,CLS550,Sedan,automatic,wdddj7cb8aa164666,tx,34.0,40766.0,,,mercedes-benz financial services,27500.0,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
2014,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk5eu402047,fl,45.0,32143.0,black,black,toyota motor sales usa inc/program,15500.0,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
2015,Kia,Soul,+,Wagon,,kndjp3a55f7117293,pa,38.0,11208.0,white,black,general american rentals,13900.0,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
2009,Toyota,Prius,Base,Hatchback,automatic,jtdkb20u993486675,nv,,97089.0,gray,—,chapmans las vegas dodge,9300.0,Thu Dec 18 2014 11:45:00 GMT-0800 (PST)
2004,Jeep,Liberty,Sport,SUV,automatic,1j4gk48k84w209246,tx,19.0,135347.0,red,gray,mei finance,4000.0,Thu Jan 29 2015 03:00:00 GMT-0800 (PST)
2012,Ford,Edge,SEL,SUV,automatic,2fmdk4jc4cba88335,nj,35.0,38193.0,gray,beige,ford motor credit company llc,16700.0,Wed Jun 03 2015 02:00:00 GMT-0700 (PDT)
